species,lambda0_ang,sigma_lambda0_ang,q_cm-1,sigma_q_cm-1,lambda0_source,join_flag,nist_wavelength_ang,lower_level,upper_level,Aki_s-1,fik,q_cm1,line_id,lambda0_unc_ang
Ni V,1254.197,0.002,4221,,Lee2025_2410.01849,OK,1254.2,3d5.(2F1).4s 1F J=3,3d5.(2F1).4p 1D* J=2,3220000000.0,0.108,4221,line_0038,0.002
Ni V,1254.866,0.005,2171,,Lee2025_2410.01849,OK,1254.861,3d5.(2G2).4s 1G J=4,3d5.(2G2).4p 1F* J=3,2480000000.0,0.065,2171,line_0039,0.005
Ni V,1256.222,0.004,3042,,Lee2025_2410.01849,OK,1256.221,3d5.(4G).4s 5G J=2,3d5.(4P).4p 5D* J=1,162000000.0,0.00767,3042,line_0040,0.004
Ni V,1256.916,0.002,3531,,Lee2025_2410.01849,OK,1256.916,3d5.(2G1).4s 1G J=4,3d5.(2G1).4p 1G* J=4,9540000000.0,0.251,3531,line_0041,0.002
Ni V,1257.637,0.004,3765,,Lee2025_2410.01849,OK,1257.637,3d5.(4G).4s 5G J=5,3d5.(4G).4p 5H* J=6,14400000000.0,0.312,3765,line_0042,0.004
Ni V,1258.024,0.002,3088,,Lee2025_2410.01849,OK,1258.022,3d5.(4F).4s 3F J=4,3d5.(4F).4p 3F* J=4,3110000000.0,0.0822,3088,line_0043,0.002
Ni V,1259.592,0.004,3728,,Lee2025_2410.01849,OK,1259.589,3d5.(2I).4s 3I J=5,3d5.(2I).4p 1H* J=5,3780000000.0,0.0818,3728,line_0044,0.004
Ni V,1259.727,0.004,2197,,Lee2025_2410.01849,OK,1259.727,3d5.(4F).4s 5F J=5,3d5.(4F).4p 5G* J=5,3850000000.0,0.0833,2197,line_0045,0.004
Ni V,1261.118,0.005,3038,,Lee2025_2410.01849,OK,1261.12,3d5.(4P).4s 5P J=3,3d5.(4P).4p 5P* J=2,236000000.0,0.00805,3038,line_0046,0.005
Ni V,1261.341,0.005,3353,,Lee2025_2410.01849,OK,1261.341,3d5.(2F1).4s 3F J=4,3d5.(2F1).4p 3G* J=5,10700000000.0,0.285,3353,line_0047,0.005
Ni V,1261.437,0.005,3533,,Lee2025_2410.01849,OK,1261.441,3d5.(2G1).4s 1G J=4,3d5.(2G1).4p 1H* J=5,11300000000.0,0.3,3533,line_0048,0.005
Ni V,1261.758,0.004,3254,,Lee2025_2410.01849,OK,1261.76,3d5.(4D).4s 5D J=4,3d5.(4D).4p 5F* J=5,11100000000.0,0.294,3254,line_0049,0.004
Ni V,1262.739,0.005,3915,,Lee2025_2410.01849,OK,1262.739,3d5.(2D2).4s 3D J=1,3d5.(2D2).4p 3F* J=2,2380000000.0,0.189,3915,line_0050,0.005
Ni V,1264.264,0.005,1955,,Lee2025_2410.01849,OK,1264.265,3d5.(2F1).4s 3F J=2,3d5.(4F).4p 5F* J=2,270000000.0,0.0129,1955,line_0051,0.005
Ni V,1264.755,0.005,2678,,Lee2025_2410.01849,OK,1264.751,3d5.(4F).4s 3F J=3,3d5.(4F).4p 3D* J=2,2920000000.0,0.1,2678,line_0052,0.005
Ni V,1265.667,0.005,3779,,Lee2025_2410.01849,OK,1265.669,3d5.(2H).4s 3H J=6,3d5.(2H).4p 3I* J=7,16200000000.0,0.301,3779,line_0053,0.005
Ni V,1265.876,0.002,3068,,Lee2025_2410.01849,OK,1265.875,3d5.(4G).4s 5G J=5,3d5.(4G).4p 5H* J=5,233000000.0,0.0051,3068,line_0054,0.002
