line_id,species,lambda_obs,sigma_lambda_obs,chi2,n_components
Ni V_1252.2810,Ni V,1252.7817012813118,0.014037239586634633,2645.7552773030675,1
Ni V_1253.6630,Ni V,1254.1054243387257,0.00030428961185445346,527954.248775381,1
Ni V_1254.1970,Ni V,1254.2966779879762,0.00035424289490026766,1023131.5218059213,1
Ni V_1254.8660,Ni V,1254.4550877478557,0.00025301964283548964,885333.1698225047,1
Ni V_1256.2220,Ni V,1256.6311862364967,0.00035386094870135495,484039.9527014544,1
Ni V_1256.9160,Ni V,1256.9032200707973,0.0009179594943926853,679158.4333410291,1
Ni V_1257.6370,Ni V,1257.2161658494447,0.0003604118899594263,539995.4733031874,1
Ni V_1258.0240,Ni V,1258.421444755434,0.0006377636620224561,126492.53224521432,1
Ni V_1259.5920,Ni V,1259.1284381580963,0.0008170756177594843,139948.48213216872,1
Ni V_1259.7270,Ni V,1259.193898606109,0.0010969813990767449,181050.55758987495,1
Ni V_1261.1180,Ni V,1261.5681947210953,0.002786065018695226,867.7511667612774,1
Ni V_1261.3410,Ni V,1261.6879531669367,0.0025018709557877283,3239.6878723220107,1
Ni V_1261.4370,Ni V,1261.6530038530134,0.0014276620028954427,3709.083058515999,1
Ni V_1261.7580,Ni V,1261.6217519511745,0.0009465732076042771,8400.581074101003,1
Ni V_1262.7390,Ni V,1262.2986659922444,0.0018826003138434641,29857.97365777776,1
Ni V_1264.2640,Ni V,1264.6424235361637,0.0026367351507727383,5192.314253857485,1
Ni V_1264.7550,Ni V,1264.6432107582496,0.0013583115987549675,5631.388859977736,1
Ni V_1265.6670,Ni V,1265.0700000000002,0.03280730041981912,4608.766330655887,1
Ni V_1265.8760,Ni V,1265.2828000000002,0.05275893464212294,3594.336537889426,1
Ni V_1266.4030,Ni V,1267.0003999999958,0.02802167494524219,5698.491860758437,1
Fe V_1266.5218,Fe V,1267.1143999999997,0.031872379119147934,3694.66986156193,1
Ni V_1268.1820,Ni V,1267.5856072590866,406986830.81835496,3178.613522606129,1
Ni V_1268.8830,Ni V,1269.4779999999998,0.011792335137243459,719.5630019750231,1
Ni V_1269.3840,Ni V,1269.9361486485036,0.016120660150933226,477.33870706963774,1
Fe V_1269.7855,Fe V,1269.980619424366,0.0039921324485849286,427.36371975001543,1
Ni V_1270.2050,Ni V,1269.988274494438,0.003038974809511995,1603.0701972312108,1
Fe V_1270.4713,Fe V,1270.058973800915,0.00546461597373336,2965.953436657528,1
Ni V_1273.8170,Ni V,1273.743659858024,0.0007055525864234634,3407.9554450889877,1
Ni V_1274.2630,Ni V,1273.801197416147,0.0012525456928405444,11701.208533315094,1
Ni V_1276.4310,Ni V,1276.6601100490657,0.0004625941076730615,7498.772572653354,1
Ni V_1276.6320,Ni V,1276.6455481929536,0.0003834426066273023,11728.793860603197,1
Ni V_1278.8720,Ni V,1279.4719999999998,0.02256151726759969,622.1837631072373,1
Fe V_1279.5917,Fe V,1279.4951600187096,0.00285658759949094,2180.6888984704674,1
Fe V_1280.4678,Fe V,1279.9214185790627,0.0048036003060250914,1457.9203452055003,1
Fe V_1280.6480,Fe V,1280.0496000000003,0.006355876522432518,3166.7868260918713,1
Fe V_1281.3672,Fe V,1281.9647999997792,0.009963547687485511,449.3945671566347,1
Fe V_1281.6471,Fe V,1282.2459999999999,0.014583052223324466,502.7256356412117,1
Fe V_1282.0587,Fe V,1282.408086656337,0.007339266953901704,754.0881441045813,1
Ni V_1283.1860,Ni V,1283.6133490311354,0.0021584484767822945,16111.001745403388,1
Fe V_1284.1080,Fe V,1284.607467768187,0.002709482147597579,8884.594552102728,1
Ni V_1284.4750,Ni V,1284.6734988608473,0.0014558554490736856,1887.510194882986,1
Fe V_1285.9150,Fe V,1285.954770073277,0.0005089445469846036,4889.626217910165,1
Ni V_1287.5710,Ni V,1287.8787120703219,0.0025508443430795925,866.2199718059717,1
