distortion_degree,likelihood,species,wavelength_split,n_lines,delta_alpha,delta_alpha_err,chi2,dof,condition_number,orthogonalized,notes
1,gaussian,Fe,full,53,-0.0008361553250139146,0.0004310034349197445,68.19945978953643,49,3.9251155680748053,False,
1,gaussian,Fe,blue,26,-0.003573957013936924,5.538307847765034e-05,8667.238092924901,22,5.198423141807194,False,
1,gaussian,Fe,red,27,-0.00018662495063973542,5.4534597412284576e-05,2007.458152916459,23,4.055621622455388,False,
1,gaussian,Ni,full,16,0.0018085361904046078,6.236302886733306e-05,5573.158346163287,12,3.594497170083915,False,
1,gaussian,Ni,blue,8,0.002399953761307979,0.0023272822220785326,9.172203961670375,4,4.785860741587885,False,
1,gaussian,Ni,red,8,0.002640660067247815,7.037526481740741e-05,3735.031538721286,4,3.7584900027512456,False,
1,gaussian,both,full,69,-0.00047303797991497126,0.0003746065202007656,94.10557726668901,65,3.9998615221241396,False,
1,gaussian,both,blue,34,0.0004182216471290061,4.4402171309451345e-05,25408.805528085424,30,3.98452244267662,False,
1,gaussian,both,red,35,-0.00012617658087065182,4.632497094331843e-05,2953.8511639852245,31,4.44481185368664,False,
2,student_t,Fe,full,53,-0.00039416377112143174,4.24146505301323e-05,14590.975242282979,48,5.983590445438589,False,
2,student_t,Fe,blue,26,-0.0007866345648112754,6.694108589039513e-05,12165.682388717449,21,9.57630372379765,False,
2,student_t,Fe,red,27,-0.0010989617699323556,5.8316972084700016e-05,1992.0869553831394,22,6.4109642950453,False,
2,student_t,Ni,full,16,-0.0002803000362402573,6.931652858965311e-05,16770.156177323217,11,5.36288999289166,False,
2,student_t,Ni,blue,8,-2.1290352650500826e-05,0.00032910686664784454,62.92815977880194,3,8.339417380683264,False,
2,student_t,Ni,red,8,0.000860048516888279,0.00024162548992626926,8673.30520582007,3,7.936456483572669,False,
2,student_t,both,full,69,-0.00026579476854538285,3.131684792913305e-05,31052.26908350075,64,6.779338198837973,False,
2,student_t,both,blue,34,-2.2983160975662057e-05,4.476264226356823e-05,29919.189556642745,29,6.053158057135718,False,
2,student_t,both,red,35,-0.0005504983248452983,4.68025342911662e-05,3066.0471618316856,30,7.087405676368765,False,
2,gaussian,Fe,full,53,-0.0019010877834089016,3.9463752444923255e-05,12620.39835426476,48,5.983590445438589,False,
2,gaussian,Fe,blue,26,-0.002065140361493421,0.0007931771304277753,39.92730896426172,21,9.57630372379765,False,
2,gaussian,Fe,red,27,-0.0003547883235079461,5.557097742405706e-05,1777.5007690086622,22,6.4109642950453,False,
2,gaussian,Ni,full,16,0.001982470942673173,6.39002763788277e-05,5068.829082262265,11,5.36288999289166,False,
2,gaussian,Ni,blue,8,0.00015327827055988262,0.0003291068666581301,56.4863841177884,3,8.339417380683264,False,
2,gaussian,Ni,red,8,0.0038272950495889294,7.282679584964238e-05,202.9012828088062,3,7.936456483572669,False,
2,gaussian,both,full,69,0.00013258304058909255,3.0912939787670114e-05,28733.74161788871,64,6.779338198837973,False,
2,gaussian,both,blue,34,-0.0009779983956075522,0.0007199163203399864,49.80737872358888,29,6.053158057135718,False,
2,gaussian,both,red,35,-0.0001621732165767062,4.641474438192088e-05,2831.8072384958327,30,7.087405676368765,False,
