species,wavelength_vac_ang,wavelength_unc_ang,lower_level,upper_level,Aki_s-1,fik,nist_source,q_cm-1,q_source,wl_match_ang,f_q,gamma_s-1
Ni V,1135.0040,0.0130,3d5.(4P).4s 5P J=3,3d5.(4D).4p 5P* J=3,4.55e+08,1.26e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1136.9840,0.0060,3d3.(2G).4p 3H* J=5,3d3.(4F).4d 3G J=4,4.e+08,8.e-03,NIST_ASD_v5.12;L11803;T9277,,,,,
Ni V,1137.8140,0.0130,3d5.(2I).4s 3I J=7,3d5.(2H).4p 3H* J=6,1.57e+08,2.04e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1139.0400,0.0130,3d5.(2G2).4s 3G J=4,3d5.(2F2).4p 3G* J=4,1.04e+09,2.23e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1139.3480,0.0060,3d3.(2D2).4p 3D* J=3,3d3.(4P).4d 3D J=3,9.1e+08,2.5e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1140.5530,0.0060,3d3.(2F).4p 1G* J=4,3d3.(2D2).4d 1F J=3,3.e+09,7.e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1140.9550,0.0060,3d3.(2F).4p 3G* J=3,3d3.(2G).4d 3F J=3,4.e+08,1.1e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Ni V,1141.1250,0.0130,3d5.(2D3).4s 1D J=2,3d5.(2G2).4p 1F* J=3,3.26e+08,1.27e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1141.5440,0.0060,3d3.(2D2).4p 1F* J=3,3d3.(2G).4d 3G J=3,7.0e+08,1.9e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Ni V,1141.7430,0.0220,3d5.(2G2).4s 3G J=3,3d5.(2F2).4p 3D* J=3,5.27e+08,1.47e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1142.2760,0.0060,3d3.(2F).4p 3G* J=4,3d3.(2G).4d 3F J=4,6.e+08,1.5e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Ni V,1143.5620,0.0130,3d5.(2F2).4s 3F J=4,3d5.(2F2).4p 1F* J=3,4.52e+08,9.83e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1144.1830,0.0050,3d5.(4G).4s 5G J=6,3d5.(4D).4p 5F* J=5,9.43e+08,1.42e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1144.5880,0.0050,3d5.(2G2).4s 3G J=4,3d5.(2F2).4p 3D* J=3,1.26e+09,2.75e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1145.2430,0.0060,3d3.(2F).4p 1F* J=3,3d3.(2D2).4d 1F J=3,2.9e+09,8.e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Ni V,1145.3040,0.0130,3d5.(4G).4s 5G J=5,3d5.(4D).4p 5F* J=5,2.24e+08,4.01e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1147.0040,0.0060,3d3.(2F).4p 3D* J=2,3d3.(2H).4d 3F J=3,1.3e+09,5.e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1149.1180,0.0040,3d3.(2D2).4s 1D J=2,3d3.(2F).4p 1D* J=2,7.0e+08,2.7e-02,NIST_ASD_v5.12;L3625;T6653c93,2143,Hu_et_al_2021,1149.1179,2.7e-02,4.78E+09
Ni V,1149.8760,0.0050,3d5.(4F).4s 3F J=4,3d5.(2F2).4p 3G* J=4,5.78e+08,1.27e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1150.0830,0.0050,3d5.(4P).4s 5P J=3,3d5.(4D).4p 5P* J=2,7.05e+08,2.00e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1150.4690,0.0130,3d5.(2D3).4s 1D J=2,3d5.(2F2).4p 3F* J=3,1.60e+08,6.34e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1151.0530,0.0220,3d5.(4P).4s 5P J=3,3d5.(4D).4p 3D* J=3,9.59e+08,2.72e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1151.0530,0.0220,3d5.(2D3).4s 1D J=2,3d5.(2F2).4p 3F* J=2,4.36e+08,1.73e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1151.6700,0.0060,3d3.(2F).4p 3G* J=5,3d3.(2H).4d 3G J=5,2.5e+09,4.6e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Ni V,1151.9590,0.0050,3d5.(4G).4s 5G J=5,3d5.(4D).4p 5F* J=4,8.90e+08,1.61e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1152.1660,0.0050,3d5.(4P).4s 5P J=2,3d5.(4D).4p 5P* J=2,2.72e+08,1.08e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1152.3900,0.0130,3d5.(4G).4s 5G J=4,3d5.(4D).4p 5F* J=4,3.16e+08,6.98e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1152.5200,0.0250,3d5.(4D).4s 3D J=3,3d5.(2D3).4p 3P* J=2,2.32e+08,6.62e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1152.6740,0.0050,3d5.(2H).4s 1H J=5,3d5.(2H).4p 1G* J=4,4.77e+09,8.64e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1153.6800,0.0060,3d3.(2H).4p 3G* J=4,3d3.(2G).4d 3G J=5,5.2e+08,1.2e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Ni V,1153.9810,0.0130,3d5.(2I).4s 3I J=5,3d5.(2F1).4p 3G* J=4,2.28e+08,4.14e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1154.8750,0.0130,3d5.(4P).4s 5P J=1,3d5.(4D).4p 5P* J=2,7.00e+07,4.68e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1155.4580,0.0130,3d5.(2F1).4s 1F J=3,3d5.(2G2).4p 1F* J=3,2.45e+08,7.01e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1155.7290,0.0060,3d3.(2G).4p 3G* J=5,3d3.(4F).4d 3F J=4,1.4e+09,2.4e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Ni V,1155.9170,0.0220,3d5.(4F).4s 3F J=2,3d5.(2F2).4p 3D* J=2,1.60e+08,6.43e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1157.3310,0.0220,3d5.(4F).4s 3F J=3,3d5.(2F2).4p 3D* J=2,5.85e+08,1.68e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1157.4380,0.0050,3d5.(2H).4s 3H J=4,3d5.(2H).4p 1H* J=5,1.08e+08,2.42e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1157.6920,0.0060,3d3.(2F).4p 3D* J=1,3d3.(2H).4d 3F J=2,9.0e+08,6.e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Ni V,1158.1150,0.0220,3d5.(4D).4s 3D J=2,3d5.(2D3).4p 3P* J=2,2.22e+08,8.95e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1158.1150,0.0220,3d5.(4F).4s 3F J=2,3d5.(2F2).4p 3G* J=3,2.67e+08,1.07e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1158.1150,0.0220,3d5.(4P).4s 5P J=2,3d5.(4P).4p 3D* J=1,3.63e+08,1.46e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1158.3060,0.0060,3d3.(2H).4p 3G* J=4,3d3.(2G).4d 3G J=4,,,NIST_ASD_v5.12;L11803,,,,,
Fe V,1158.4920,0.0060,3d3.(2H).4p 3G* J=3,3d3.(2G).4d 3G J=3,,,NIST_ASD_v5.12;L11803,,,,,
Ni V,1159.0090,0.0220,3d5.(4G).4s 5G J=4,3d5.(4D).4p 5F* J=3,8.82e+08,1.98e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",3275,Webb_et_al_2025,1159.018,,
Ni V,1159.0090,0.0220,3d5.(4G).4s 5G J=3,3d5.(4D).4p 5F* J=3,3.50e+08,1.01e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",3275,Webb_et_al_2025,1159.018,,
Ni V,1159.5090,0.0220,3d5.(4F).4s 3F J=3,3d5.(2F2).4p 3G* J=3,4.06e+08,1.17e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1160.1080,0.0220,3d5.(4F).4s 3F J=2,3d5.(2F2).4p 3D* J=1,4.86e+08,1.96e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1160.1300,0.0060,3d3.(2G).4p 3F* J=4,3d3.(4F).4d 3F J=4,4.e+08,1.0e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Ni V,1163.3510,0.0130,3d5.(2I).4s 3I J=5,3d5.(2G2).4p 3H* J=4,1.84e+08,3.41e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1163.5120,0.0050,3d5.(2G2).4s 1G J=4,3d5.(2H).4p 1G* J=4,1.54e+09,3.47e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1163.6770,0.0050,3d5.(4G).4s 5G J=2,3d5.(4D).4p 5F* J=2,2.86e+08,1.16e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1163.8540,0.0050,3d5.(4G).4s 5G J=3,3d5.(4D).4p 5F* J=2,9.25e+08,2.68e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1165.5190,0.0060,3d3.(2F).4p 3F* J=4,3d3.(2D2).4d 3F J=4,4.2e+08,1.0e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Ni V,1165.5850,0.0130,3d5.(2H).4s 3H J=5,3d5.(2F2).4p 3F* J=4,2.56e+08,4.73e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1165.6720,0.0060,3d3.(2G).4p 3F* J=4,3d3.(4F).4d 3G J=5,8.e+08,1.8e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Ni V,1165.8500,0.0130,3d5.(4F).4s 5F J=4,3d5.(4F).4p 3G* J=4,3.73e+08,8.43e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1166.2150,0.0050,3d5.(4P).4s 5P J=3,3d5.(4P).4p 3D* J=2,3.26e+08,9.48e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1166.4640,0.0050,3d5.(4P).4s 5P J=2,3d5.(4D).4p 5P* J=1,4.86e+08,1.99e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1166.6720,0.0130,3d5.(2F2).4s 3F J=4,3d5.(2H).4p 1G* J=4,1.32e+09,3.00e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1167.1020,0.0050,3d5.(4G).4s 5G J=2,3d5.(4D).4p 5F* J=1,8.73e+08,3.56e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",2415,Webb_et_al_2025,1167.102,,
Ni V,1167.8830,0.0130,3d5.(4F).4s 5F J=3,3d5.(4F).4p 3G* J=4,6.88e+07,2.01e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1168.1560,0.0130,3d5.(4P).4s 5P J=1,3d5.(4D).4p 5D* J=0,1.19e+08,8.11e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1168.6160,0.0220,3d5.(4F).4s 5F J=5,3d5.(4F).4p 3G* J=5,8.50e+08,1.58e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1169.8850,0.0060,3d3.(2G).4p 3F* J=2,3d3.(4F).4d 3F J=3,1.5e+08,6.e-03,NIST_ASD_v5.12;L11803;T9277,,,,,
Ni V,1170.2440,0.0050,3d5.(2D1).4s 3D J=3,3d5.(2D1).4p 3P* J=2,3.13e+09,9.18e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1171.1280,0.0220,3d5.(2D1).4s 3D J=2,3d5.(2D1).4p 3P* J=2,8.95e+08,3.67e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",2842,Webb_et_al_2025,1171.114,,
Ni V,1171.1280,0.0220,3d5.(4P).4s 5P J=1,3d5.(4P).4p 3D* J=2,5.80e+08,3.98e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",2842,Webb_et_al_2025,1171.114,,
Ni V,1171.4400,0.0050,3d5.(2F1).4s 1F J=3,3d5.(2F2).4p 1G* J=4,4.11e+08,1.21e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1171.7020,0.0050,3d5.(2F1).4s 3F J=2,3d5.(2F1).4p 1F* J=3,1.88e+08,7.73e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1172.1180,0.0130,3d5.(2I).4s 3I J=7,3d5.(4F).4p 5G* J=6,2.66e+08,3.66e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1172.4580,0.0050,3d5.(4P).4s 3P J=2,3d5.(4D).4p 3P* J=2,7.80e+08,3.21e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1173.0990,0.0060,3d3.(2G).4p 3G* J=5,3d3.(4F).4d 3H J=6,,,NIST_ASD_v5.12;L11803,,,,,
Fe V,1173.9030,0.0060,3d3.(2G).4p 3F* J=3,3d3.(4F).4d 3F J=3,4.e+08,1.3e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Ni V,1174.1930,0.0050,3d5.(4P).4s 5P J=2,3d5.(4P).4p 3D* J=3,1.16e+09,4.76e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",3152,Webb_et_al_2025,1174.186,,
Ni V,1176.9770,0.0130,3d5.(4P).4s 5P J=1,3d5.(4D).4p 5D* J=1,9.06e+08,6.26e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1177.1690,0.0050,3d5.(4P).4s 3P J=1,3d5.(4D).4p 3P* J=2,3.65e+08,2.53e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1177.5920,0.0050,3d5.(4P).4s 5P J=3,3d5.(4D).4p 5D* J=2,3.00e+08,8.93e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1178.2180,0.0050,3d5.(4D).4s 5D J=3,3d5.(4D).4p 3F* J=3,4.19e+08,1.25e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1178.3730,0.0130,3d5.(2D3).4s 3D J=2,3d5.(4F).4p 5D* J=2,1.66e+08,6.92e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1178.7970,0.0050,3d5.(2G2).4s 3G J=3,3d5.(2F2).4p 1D* J=2,1.34e+08,3.97e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1178.9050,0.0050,3d5.(4P).4s 5P J=3,3d5.(4D).4p 5D* J=4,2.58e+09,7.69e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1179.2250,0.0050,3d5.(4P).4s 5P J=3,3d5.(4G).4p 3G* J=4,1.42e+09,4.25e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1179.9620,0.0220,3d5.(4P).4s 3P J=2,3d5.(4D).4p 3P* J=1,4.20e+08,1.75e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1180.2480,0.0050,3d5.(4D).4s 5D J=4,3d5.(4D).4p 3F* J=4,4.85e+08,1.13e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1182.4980,0.0130,3d5.(2D3).4s 3D J=1,3d5.(4F).4p 5D* J=1,2.45e+08,1.71e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1182.6070,0.0050,3d5.(4P).4s 5P J=1,3d5.(4D).4p 5D* J=2,1.32e+09,9.27e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",2791,Webb_et_al_2025,1182.606,,
Ni V,1182.7160,0.0130,3d5.(2D3).4s 3D J=1,3d5.(4F).4p 5D* J=0,1.50e+08,1.05e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1183.7590,0.0050,3d5.(2H).4s 3H J=5,3d5.(2F2).4p 1G* J=4,6.44e+08,1.23e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1184.5560,0.0060,3d3.(2D1).4p 3F* J=3,3d3.(2G).5s 3G J=4,8.e+07,3.e-03,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1184.6600,0.0060,3d3.(2G).4p 3F* J=3,3d3.(4F).4d 3G J=4,7.e+08,2.0e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Ni V,1185.2280,0.0130,3d5.(2G2).4s 3G J=4,3d5.(2F2).4p 3F* J=4,1.66e+08,3.90e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1185.2290,0.0220,3d4 3D J=2,3d4 1S1 J=0,4.9e-01,2.1e-11,NIST_ASD_v5.12;T9277,,,,,
Ni V,1185.9410,0.0050,3d5.(4P).4s 5P J=2,3d5.(4D).4p 5D* J=3,2.44e+09,1.03e-01,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",3588,Webb_et_al_2025,1185.944,,
Ni V,1187.1900,0.0130,3d5.(2F1).4s 3F J=4,3d5.(4F).4p 3G* J=5,1.51e+08,3.55e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1187.3140,0.0050,3d5.(4G).4s 5G J=5,3d5.(4G).4p 3H* J=5,1.54e+08,2.96e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1187.7740,0.0130,3d5.(4G).4s 5G J=4,3d5.(4G).4p 3H* J=5,2.66e+08,6.26e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1189.5370,0.0050,3d5.(2H).4s 3H J=5,3d5.(2G2).4p 3H* J=6,2.12e+09,4.09e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1189.6800,0.0050,3d5.(2I).4s 3I J=6,3d5.(4F).4p 5G* J=5,1.39e+08,2.27e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1190.3270,0.0050,3d5.(4D).4s 5D J=4,3d5.(4D).4p 5P* J=3,1.29e+09,3.04e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1191.0750,0.0050,3d5.(4P).4s 3P J=1,3d5.(4D).4p 3P* J=0,5.64e+08,4.00e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1192.6810,0.0050,3d5.(4G).4s 5G J=6,3d5.(4G).4p 3H* J=6,3.70e+08,6.07e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1192.8430,0.0050,3d5.(2G2).4s 3G J=4,3d5.(2G2).4p 1H* J=5,2.40e+08,5.69e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1193.6010,0.0130,3d5.(2G1).4s 3G J=5,3d5.(2G1).4p 1H* J=5,7.15e+08,1.39e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1193.8760,0.0050,3d5.(4G).4s 5G J=5,3d5.(4G).4p 3H* J=6,3.63e+08,7.04e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1194.2710,0.0220,3d5.(2D3).4s 3D J=3,3d5.(2F1).4p 3F* J=3,3.75e+08,1.15e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1194.2710,0.0220,3d5.(2F1).4s 1F J=3,3d5.(2H).4p 3H* J=4,9.27e+08,2.84e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1194.4870,0.0130,3d5.(2F1).4s 3F J=4,3d5.(2G2).4p 1G* J=4,1.13e+08,2.70e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1194.5650,0.0130,3d5.(2D1).4s 3D J=3,3d5.(2D1).4p 1D* J=2,4.14e+08,1.26e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1194.8510,0.0050,3d5.(2G2).4s 3G J=3,3d5.(2F2).4p 3F* J=2,6.55e+08,2.01e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1195.1030,0.0040,3d3.(2G).4s 3G J=3,3d3.(2H).4p 3G* J=3,3.4e+08,1.04e-02,NIST_ASD_v5.12;L3625;T6653c93,3503,Hu_et_al_2021,1195.0981,1.0e-02,8.00E+09
Ni V,1195.1910,0.0020,3d5.(2G2).4s 1G J=4,3d5.(2F2).4p 3G* J=5,4.33e+09,1.03e-01,"NIST_ASD_v5.12;L21210,L3912;T6653c93",3065,Webb_et_al_2025,1195.189,,
Ni V,1195.8150,0.0130,3d5.(2D3).4s 3D J=2,3d5.(2F1).4p 3F* J=3,2.28e+08,9.80e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1196.0260,0.0130,3d5.(4D).4s 5D J=2,3d5.(4D).4p 5P* J=3,1.64e+08,7.06e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1196.1020,0.0020,3d5.(4D).4s 5D J=3,3d5.(4D).4p 5P* J=3,1.08e+09,3.30e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1196.9650,0.0050,3d5.(4F).4s 3F J=4,3d5.(2F2).4p 3F* J=4,1.01e+09,2.41e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1197.2680,0.0020,3d5.(2D3).4s 3D J=3,3d5.(2F1).4p 3G* J=4,7.55e+08,2.32e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1197.3680,0.0050,3d5.(2D1).4s 3D J=3,3d5.(2D1).4p 3D* J=3,5.00e+09,1.54e-01,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1197.9650,0.0220,3d5.(2G2).4s 3G J=5,3d5.(2G2).4p 1H* J=5,4.82e+08,9.43e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",2374,Webb_et_al_2025,1197.994,,
Ni V,1197.9650,0.0220,3d5.(4F).4s 3F J=2,3d5.(2G2).4p 1F* J=3,1.65e+08,7.10e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",2374,Webb_et_al_2025,1197.994,,
Ni V,1197.9930,0.0020,3d5.(2F1).4s 3F J=3,3d5.(2F1).4p 1D* J=2,1.86e+08,5.70e-03,"NIST_ASD_v5.12;L21210,L3912;T6653c93",2374,Webb_et_al_2025,1197.994,,
Ni V,1198.2690,0.0130,3d5.(2D1).4s 3D J=2,3d5.(2D1).4p 3D* J=3,3.50e+09,1.51e-01,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1198.5160,0.0020,3d5.(2F2).4s 3F J=4,3d5.(2F2).4p 3G* J=5,4.55e+09,1.09e-01,"NIST_ASD_v5.12;L21210,L3912;T6653c93",3739,Webb_et_al_2025,1198.519,,
Fe V,1198.5930,0.0040,3d3.(4P).4s 3P J=0,3d3.(2P).4p 1P* J=1,2.e+07,5.e-03,NIST_ASD_v5.12;L3625;T6653c93,4284,Hu_et_al_2021,1198.5945,5.0e-03,6.80E+09
Ni V,1198.6900,0.0050,3d5.(4G).4s 5G J=5,3d5.(4G).4p 3F* J=4,2.25e+08,4.40e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1198.8890,0.0220,3d5.(4F).4s 3F J=4,3d5.(2G2).4p 1F* J=3,2.37e+08,5.69e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1199.3900,0.0020,3d5.(2H).4s 3H J=6,3d5.(2G2).4p 3H* J=6,6.71e+09,1.11e-01,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Fe V,1200.1830,0.0040,3d3.(2G).4s 3G J=4,3d3.(2H).4p 3G* J=4,4.5e+08,1.08e-02,NIST_ASD_v5.12;L3625;T6653c93,3155,Hu_et_al_2021,1200.1811,1.1e-02,7.75E+09
Ni V,1200.9390,0.0050,3d5.(2G2).4s 3G J=3,3d5.(2F2).4p 1G* J=4,7.57e+08,2.34e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1201.0770,0.0020,3d5.(2D2).4s 3D J=1,3d5.(2D2).4p 3P* J=1,1.54e+09,1.11e-01,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1201.1890,0.0130,3d5.(4F).4s 5F J=4,3d5.(2H).4p 3G* J=3,6.44e+08,1.55e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1201.3160,0.0050,3d5.(4F).4s 5F J=3,3d5.(4F).4p 5D* J=2,1.06e+09,3.29e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1201.5860,0.0050,3d5.(2D2).4s 3D J=2,3d5.(2D2).4p 3P* J=1,1.65e+09,7.13e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1201.6360,0.0050,3d5.(2D2).4s 3D J=1,3d5.(2D2).4p 3P* J=0,1.10e+09,7.90e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1201.7520,0.0220,3d5.(2D2).4s 3D J=1,3d5.(2D2).4p 3P* J=2,4.18e+08,3.02e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1201.8260,0.0130,3d5.(2H).4s 3H J=6,3d5.(2G2).4p 3G* J=5,6.75e+08,1.12e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1201.8490,0.0130,3d5.(2F2).4s 3F J=2,3d5.(2S).4p 3P* J=1,7.59e+08,3.29e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1202.0320,0.0050,3d5.(2F2).4s 3F J=3,3d5.(2F2).4p 3G* J=4,5.72e+09,1.77e-01,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",3605,Webb_et_al_2025,1202.034,,
Ni V,1202.2610,0.0020,3d5.(2D2).4s 3D J=2,3d5.(2D2).4p 3P* J=2,1.98e+09,8.59e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
