species,wavelength_vac_ang,wavelength_unc_ang,lower_level,upper_level,Aki_s-1,fik,nist_source,q_cm-1,q_source,wl_match_ang,f_q,gamma_s-1
Fe V,1457.7270,0.0040,3d3.(4P).4s 5P J=3,3d3.(4P).4p 5P* J=2,2.1e+09,9.7e-02,NIST_ASD_v5.12;L3625;T6653c93,1769,Hu_et_al_2021,1457.7321,9.7e-02,6.76E+09
Fe V,1459.2540,0.0040,3d3.(2F).4s 3F J=3,3d3.(2F).4p 3F* J=3,4.6e+09,2.1e-01,NIST_ASD_v5.12;L3625;T6653c93,2088,Hu_et_al_2021,1459.2560,2.1e-01,4.29E+09
Fe V,1459.7630,0.0040,3d3.(2G).4s 1G J=4,3d3.(2G).4p 1G* J=4,4.4e+09,1.6e-01,NIST_ASD_v5.12;L3625;T6653c93,2667,Hu_et_al_2021,1459.7720,1.6e-01,5.95E+09
Fe V,1459.8310,0.0040,3d3.(4F).4s 3F J=3,3d3.(4F).4p 3G* J=4,6.6e+09,3.0e-01,NIST_ASD_v5.12;L3625;T6653c93,2416,Hu_et_al_2021,1459.8330,3.0e-01,5.03E+09
Fe V,1460.7260,0.0040,3d3.(4F).4s 5F J=4,3d3.(4F).4p 5G* J=4,1.8e+09,6.3e-02,NIST_ASD_v5.12;L3625;T6653c93,1771,Hu_et_al_2021,1460.7298,6.3e-02,9.52E+08
Fe V,1461.0500,0.0040,3d3.(2F).4s 3F J=3,3d3.(2F).4p 3F* J=2,6.5e+08,2.9e-02,NIST_ASD_v5.12;L3625;T6653c93,2033,Hu_et_al_2021,1461.0540,2.9e-02,4.31E+09
Fe V,1462.5630,0.0040,3d3.(2D2).4s 3D J=3,3d3.(2P).4p 3D* J=2,,,NIST_ASD_v5.12;L3625,2067,Hu_et_al_2021,1462.5641,5.3e-04,5.21E+09
Fe V,1462.6310,0.0040,3d3.(4F).4s 5F J=1,3d3.(4F).4p 5G* J=2,3.0e+09,3.2e-01,NIST_ASD_v5.12;L3625;T6653c93,1750,Hu_et_al_2021,1462.6350,3.2e-01,9.09E+08
Fe V,1463.0670,0.0040,3d3.(2F).4s 3F J=2,3d3.(2F).4p 3F* J=3,7.42e+07,4.8e-03,NIST_ASD_v5.12;L3625;T6653c93,1941,Hu_et_al_2021,1463.0650,4.8e-03,4.29E+09
Fe V,1463.3320,0.0200,3d3.(2H).4s 3H J=5,3d3.(2H).4p 3H* J=6,5.e+07,1.4e-03,NIST_ASD_v5.12;L2884;T9277,2647,Hu_et_al_2021,1463.3660,1.4e-03,5.81E+09
Fe V,1464.2240,0.0040,3d3.(4P).4s 3P J=2,3d3.(2P).4p 3P* J=1,1.1e+08,7.3e-03,NIST_ASD_v5.12;L3625;T6653c93,851,Hu_et_al_2021,1464.2202,7.3e-03,5.38E+09
Fe V,1464.6830,0.0040,3d3.(4F).4s 3F J=4,3d3.(4F).4p 3G* J=5,7.9e+09,2.82e-01,NIST_ASD_v5.12;L3625;T6653c93,2232,Hu_et_al_2021,1464.6850,2.8e-01,4.98E+09
Fe V,1464.8760,0.0040,3d3.(2F).4s 3F J=2,3d3.(2F).4p 3F* J=2,3.2e+09,2.0e-01,NIST_ASD_v5.12;L3625;T6653c93,1886,Hu_et_al_2021,1464.8730,2.0e-01,4.31E+09
Fe V,1465.3830,0.0070,3d3.(4F).4s 5F J=3,3d3.(4F).4p 5G* J=3,1.5e+09,7.1e-02,NIST_ASD_v5.12;L3625;T6653c93,1573,Hu_et_al_2021,1465.3790,7.1e-02,9.26E+08
Fe V,1465.3830,0.0070,3d3.(2H).4s 1H J=5,3d3.(2H).4p 1G* J=4,5.5e+09,1.61e-01,NIST_ASD_v5.12;L3625;T6653c93,1573,Hu_et_al_2021,1465.3790,7.1e-02,9.26E+08
Fe V,1466.6490,0.0040,3d3.(2G).4s 3G J=4,3d3.(2G).4p 3H* J=5,5.4e+09,1.9e-01,NIST_ASD_v5.12;L3625;T6653c93,2212,Hu_et_al_2021,1466.6498,1.9e-01,1.68E+09
Fe V,1468.8700,0.0040,3d3.(2P).4s 3P J=2,3d3.(2P).4p 1D* J=2,1.4e+08,9.e-03,NIST_ASD_v5.12;L3625;T6653c93,2264,Hu_et_al_2021,1468.8770,9.0e-03,2.29E+09
Fe V,1468.9110,0.0040,3d3.(4F).4s 5F J=2,3d3.(4F).4p 5G* J=2,1.0e+09,6.4e-02,NIST_ASD_v5.12;L3625;T6653c93,1420,Hu_et_al_2021,1468.9080,6.4e-02,9.09E+08
Fe V,1469.0000,0.0040,3d3.(2H).4s 3H J=6,3d3.(2H).4p 3H* J=6,7.9e+09,1.96e-01,NIST_ASD_v5.12;L3625;T6653c93,2431,Hu_et_al_2021,1469.0000,2.0e-01,5.81E+09
Fe V,1469.5990,0.0040,3d3.(2P).4s 3P J=2,3d3.(2G).4p 1F* J=3,2.0e+08,1.3e-02,NIST_ASD_v5.12;L3625;T6653c93,3313,Hu_et_al_2021,1469.5986,1.3e-02,3.61E+09
Fe V,1471.2050,0.0040,3d3.(2D2).4s 3D J=1,3d3.(2P).4p 3D* J=1,2.2e+08,2.4e-02,NIST_ASD_v5.12;L3625;T6653c93,1774,Hu_et_al_2021,1471.2059,2.4e-02,5.29E+09
Fe V,1471.3310,0.0040,3d3.(4F).4s 3F J=3,3d3.(4F).4p 3G* J=3,2.5e+08,1.16e-02,NIST_ASD_v5.12;L3625;T6653c93,1754,Hu_et_al_2021,1471.3340,1.2e-02,5.05E+09
Fe V,1472.0980,0.0040,3d3.(2H).4s 3H J=5,3d3.(2H).4p 3H* J=5,6.5e+09,1.9e-01,NIST_ASD_v5.12;L3625;T6653c93,2264,Hu_et_al_2021,1472.0980,1.9e-01,5.78E+09
Fe V,1472.5120,0.0040,3d3.(2H).4s 3H J=4,3d3.(2H).4p 3H* J=4,5.4e+09,2.0e-01,NIST_ASD_v5.12;L3625;T6653c93,2576,Hu_et_al_2021,1472.5116,2.0e-01,5.99E+09
Fe V,1472.8050,0.0040,3d3.(2P).4s 3P J=2,3d3.(4P).4p 5S* J=2,4.0e+08,2.6e-02,NIST_ASD_v5.12;L3625;T6653c93,2349,Hu_et_al_2021,1472.8050,2.6e-02,1.35E+09
Fe V,1474.2750,0.0040,3d3.(2H).4s 3H J=5,3d3.(2H).4p 3H* J=4,5.0e+08,1.5e-02,NIST_ASD_v5.12;L3625;T6653c93,3111,Hu_et_al_2021,1474.2722,1.5e-02,5.99E+09
Fe V,1475.3020,0.0040,3d3.(4F).4s 5F J=5,3d3.(4F).4p 5G* J=4,6.7e+07,2.0e-03,NIST_ASD_v5.12;L3625;T6653c93,1007,Hu_et_al_2021,1475.3050,2.0e-03,9.52E+08
Fe V,1475.6040,0.0040,3d3.(2G).4s 3G J=5,3d3.(2G).4p 3H* J=5,1.8e+09,5.2e-02,NIST_ASD_v5.12;L3625;T6653c93,1800,Hu_et_al_2021,1475.6059,5.2e-02,1.68E+09
Fe V,1477.5360,0.0040,3d3.(4F).4s 5F J=4,3d3.(4F).4p 5G* J=3,9.8e+07,3.7e-03,NIST_ASD_v5.12;L3625;T6653c93,938,Hu_et_al_2021,1477.5340,3.7e-03,9.26E+08
Fe V,1477.7980,0.0040,3d3.(2H).4s 3H J=6,3d3.(2H).4p 3H* J=5,5.5e+08,1.4e-02,NIST_ASD_v5.12;L3625;T6653c93,2048,Hu_et_al_2021,1477.7992,1.4e-02,5.78E+09
Fe V,1478.2880,0.0040,3d3.(4F).4s 5F J=3,3d3.(4F).4p 5G* J=2,8.0e+07,3.6e-03,NIST_ASD_v5.12;L3625;T6653c93,926,Hu_et_al_2021,1478.2870,3.6e-03,9.09E+08
Fe V,1478.7850,0.0040,3d3.(2P).4s 3P J=1,3d3.(2P).4p 3P* J=0,7.1e+08,7.8e-02,NIST_ASD_v5.12;L3625;T6653c93,2037,Hu_et_al_2021,1478.7850,7.8e-02,5.18E+09
Fe V,1479.3880,0.0040,3d3.(4F).4s 3F J=4,3d3.(4F).4p 3G* J=4,1.9e+08,6.8e-03,NIST_ASD_v5.12;L3625;T6653c93,1410,Hu_et_al_2021,1479.3900,6.8e-03,5.03E+09
Fe V,1479.4710,0.0040,3d3.(2G).4s 3G J=3,3d3.(2G).4p 3H* J=4,4.9e+09,2.3e-01,NIST_ASD_v5.12;L3625;T6653c93,1643,Hu_et_al_2021,1479.4771,2.3e-01,1.53E+09
Fe V,1483.2590,0.0040,3d3.(2P).4s 3P J=2,3d3.(2P).4p 3P* J=1,1.7e+09,1.12e-01,NIST_ASD_v5.12;L3625;T6653c93,1555,Hu_et_al_2021,1483.2574,1.1e-01,5.38E+09
Fe V,1484.2090,0.0040,3d3.(2P).4s 1P J=1,3d3.(4P).4p 3D* J=2,3.6e+08,4.0e-02,NIST_ASD_v5.12;L3625;T6653c93,1587,Hu_et_al_2021,1484.2120,4.0e-02,6.41E+09
Fe V,1484.3720,0.0040,3d3.(2P).4s 1P J=1,3d3.(4P).4p 3D* J=1,3.e+07,3.1e-03,NIST_ASD_v5.12;L3625;T6653c93,1535,Hu_et_al_2021,1484.3750,3.1e-03,6.49E+09
Fe V,1484.4660,0.0150,3d4 3P2 J=2,3d4 1D1 J=2,3.3e-01,2.1e-11,NIST_ASD_v5.12;T9277,,,,,
