line_id,species,lambda0_ang,q_cm1,lambda0_unc_ang,converged,flags,lambda_obs,sigma_lambda_obs,depth,width,depth_err,chi2_local,reduced_chi2_local,dof_local,n_components,best_k,delta_bic_vs_k1,asymmetry,snr,window_contam
line_0093,Fe V,1303.4853,2375,0.004,True,BLEND_RESOLVED,1303.6110497746997,0.0027815284839000447,0.1940843830624584,0.06990952337024946,0.00551250977395869,327.57768101012897,3.412267510522177,96.0,3.0,3.0,402.9961070952379,0.08610077550158422,35.20798892354269,0.6666666666666666
line_0095,Fe V,1305.9674,3143,0.004,True,BLEND_MODELED,1306.1504645052796,0.014202069338749663,0.42656058202499525,0.1394398614613838,0.1935775913297655,2900.4996382618456,30.21353789856089,96.0,3.0,3.0,996.216488635886,0.1494086026584147,2.203563847937006,0.6666666666666666
line_0096,Fe V,1306.0803,2541,0.004,True,BLEND_RESOLVED,1306.1818855138495,0.0026999522418420835,0.20068805151696356,0.042770202915573916,0.009430880370636295,1513.6457411209476,15.767143136676538,96.0,3.0,3.0,8173.146888231845,0.027372642377541143,21.279885188854674,0.6666666666666666
line_0098,Fe V,1307.4242,2311,0.004,True,BLEND_RESOLVED,1307.4749414237072,0.0185126451892652,0.0923425310215668,0.07201716008077395,0.016032967299536034,2451.4211314155136,25.535636785578266,96.0,3.0,3.0,2849.997037421389,0.01681177629313169,5.7595409069560715,0.6666666666666666
line_0099,Ni V,1307.599,1384,0.002,True,BLEND_MODELED,1307.6380668632903,0.024490177183429628,0.1713464679650968,0.10147720083907791,0.04633858923454097,2750.8533648803327,28.654722550836798,96.0,3.0,3.0,1691.4460763326665,0.09558693443335196,3.6977057522798833,0.6666666666666666
line_0100,Fe V,1310.751,3286,0.004,True,BLEND_RESOLVED,1310.8624225492,0.004818066282446068,0.03004565540305601,0.013733418574816959,0.007770269150515842,220.5148847213411,2.2274230779933446,99.0,2.0,2.0,710.6006016206229,0.15681268244355195,3.8667457743161164,0.3333333333333333
line_0101,Fe V,1311.2378,2389,0.004,True,BLEND_RESOLVED,1311.3476657840545,0.002476685557894021,0.07834113941658946,0.01919223695148855,0.00754681014794092,289.2769232502817,2.9822363221678527,97.0,3.0,3.0,328.0900731285462,0.02008220631253972,10.380695668879936,0.6666666666666666
line_0103,Fe V,1311.829,1616,0.004,True,BLEND_RESOLVED,1311.934193954534,0.003259362554783077,0.14130488181663073,0.029080987021231724,0.012760630026358048,1104.0061305046395,11.500063859423328,96.0,3.0,3.0,1619.110774320273,0.1746251239278943,11.073503543692967,0.6666666666666666
line_0104,Ni V,1313.306,2056,0.002,True,BLEND_RESOLVED,1313.411416074536,0.0005585214271881682,0.15507023847805768,0.01605472427188701,0.004690679352593794,108.79687553934288,1.133300786868155,96.0,2.0,3.0,86.15382081550337,0.09747314954027705,33.059228060922315,0.3333333333333333
line_0105,Fe V,1313.5851,2507,0.004,True,BLEND_RESOLVED,1313.6987415542312,0.0024164375530300237,0.04253643398449962,0.015899553945823337,0.004797956952919215,168.5887409610083,1.7561327183438367,96.0,2.0,3.0,117.85743973564178,0.2643047050335585,8.865530558505581,0.3333333333333333
line_0106,Fe V,1314.5256,2920,0.004,True,BLEND_RESOLVED,1314.4327601783596,0.009380446802432066,0.10337015877268835,0.07130251625399116,0.011814736482490507,1906.196241040351,19.856210844170324,96.0,3.0,3.0,19683.132400194558,0.054562552910942745,8.749256399064286,0.6666666666666666
line_0108,Ni V,1317.445,3366,0.002,True,,1317.5067040000285,0.01489891337354682,0.17889178579302614,0.20407697972486052,0.021338344900171363,2015.5416068446705,20.155416068446705,100.0,1.0,1.0,0.0,0.3567584787816518,8.383583011238585,0.0
line_0110,Ni V,1318.511,2643,0.002,True,BLEND_RESOLVED,1318.4469612661405,0.0044809123301964866,0.1953268009005026,0.03590433127476156,0.02195473007917908,4773.727249307119,49.21368298254762,97.0,3.0,3.0,2108.057908691907,0.051886916821879965,8.896798102097467,0.6666666666666666
line_0111,Ni V,1319.752,2949,0.005,True,,1319.798238688554,0.021190349974205675,0.30549595558013204,0.44759099064936864,0.08331056250539243,84.80632976199946,0.8480632976199947,100.0,1.0,1.0,0.0,0.10655772901125574,3.6669534617577244,0.0
line_0112,Fe V,1320.4116,2419,0.004,True,BLEND_RESOLVED,1320.518060275856,0.0009975415077001116,0.2561656537576212,0.021032747005092348,0.009307925551669545,459.9310917152877,4.790948872034247,96.0,3.0,3.0,645.9947818226947,0.060904618526892586,27.52124008036068,0.6666666666666666
line_0113,Ni V,1320.715,2378,0.002,True,BLEND_MODELED,1320.8212743113313,0.0014927390192359543,0.16132557512689977,0.017878387383907006,0.011265563492663942,524.6336842229578,5.408594682710905,97.0,3.0,3.0,1414.1893838201222,0.03144272329222983,14.320240193218376,0.6666666666666666
line_0114,Ni V,1320.901,2650,0.005,True,BLEND_RESOLVED,1321.0022719813464,0.00540190989942122,0.03764327833559141,0.020247039461249276,0.00745488759507358,334.235795053687,3.481622865142573,96.0,3.0,3.0,100.4242210942266,0.12186373876214142,5.049476314098586,0.6666666666666666
line_0115,Ni V,1321.251,2976,0.005,True,BLEND_RESOLVED,1321.445892796423,0.004036933325082446,0.12255970941136592,0.015099070864300946,0.02713284886411084,3683.6637453915646,38.3714973478288,96.0,3.0,3.0,886.2521560946807,0.14608966245385047,4.51702325934075,0.6666666666666666
line_0116,Fe V,1321.3424,2588,0.004,True,BLEND_RESOLVED,1321.4458952415773,0.0015601287170232269,0.1385135289622449,0.014905464392864673,0.010981511729602189,729.2282252265735,7.596127346110141,96.0,3.0,3.0,1337.5538789921507,0.12899305139071474,12.6133388892954,0.6666666666666666
line_0117,Fe V,1321.4905,2559,0.004,True,BLEND_RESOLVED,1321.5870773369413,0.009597481969987439,0.19174083019330534,0.08181790492384411,0.024813454799918276,3953.634257611081,40.7591160578462,97.0,3.0,3.0,1106.0004434790267,0.11735916855542068,7.727292782862984,0.6666666666666666
line_0118,Fe V,1321.8507,2296,0.004,True,BLEND_RESOLVED,1321.9340306652457,0.00746860431521183,0.06855028682707769,0.05790135244513439,0.010329316263388696,868.974936069356,9.051822250722457,96.0,3.0,3.0,1078.6350691456564,0.09661088669196048,6.636478647676596,0.6666666666666666
line_0119,Fe V,1323.0938,3435,0.004,True,BLEND_RESOLVED,1323.1611303500229,0.006848213567847726,0.23646170664703106,0.0789679952379586,0.01359457780333221,1683.5568929320852,17.356256628165827,97.0,3.0,3.0,2114.340748810772,0.03279417377570716,17.393824954907476,0.6666666666666666
line_0120,Fe V,1323.2693,2831,0.004,True,BLEND_RESOLVED,1323.3825132061959,0.003949553558535784,0.38015209886344287,0.08845546669645825,0.014305620149237643,1747.2271965456735,18.200283297350765,96.0,3.0,3.0,2095.518244842729,0.1293623632869791,26.57361896217421,0.6666666666666666
