line_id,species,lambda0_ang,q_cm1,lambda0_unc_ang,converged,flags,lambda_obs,sigma_lambda_obs,depth,width,depth_err,chi2_local,reduced_chi2_local,dof_local,n_components,best_k,delta_bic_vs_k1,asymmetry,snr,window_contam
line_0060,Fe V,1269.7855,3697,0.004,True,,1269.9662387916037,0.01766416448248714,0.08323061775357916,0.2458643840920738,0.011998399048335917,122.28312112353895,1.2228312112353894,100.0,1.0,1.0,0.0,0.013837107788973686,6.936810270960491,0.0
line_0068,Fe V,1279.5917,2748,0.004,True,BLEND_RESOLVED,1279.6930658535948,0.002825656416098685,0.05915707321665159,0.018617008026800937,0.006653507180985668,217.25975008009536,2.26312239666766,96.0,3.0,3.0,1572.5543765516968,0.22736404226955026,8.891111350373249,0.6666666666666666
line_0069,Fe V,1280.4678,2373,0.004,True,BLEND_RESOLVED,1280.5707175136276,0.0011885915719640784,0.11762054909321416,0.019819407305233076,0.005615897683460125,143.6692559895602,1.4512046059551538,99.0,2.0,2.0,740.9229130698532,0.0830866385272936,20.944211544243196,0.3333333333333333
line_0070,Fe V,1280.648,3705,0.004,True,,1280.5707542963753,0.0009483817315449139,0.1250747962503636,0.01753548489946384,0.0058193214695564065,118.90362786800236,1.1890362786800237,100.0,1.0,1.0,0.0,0.3798173105645956,21.493020604668153,0.0
line_0072,Fe V,1281.6471,3128,0.004,True,BLEND_RESOLVED,1281.7159739857907,0.009723204703865975,0.08262273293856669,0.10009013313024792,0.013493512612367874,156.8212512586578,1.633554700611019,96.0,3.0,3.0,690.995205796676,0.09800327160486805,6.123144900226825,0.6666666666666666
line_0073,Fe V,1282.0587,3055,0.004,True,BLEND_RESOLVED,1282.1475911449095,0.0063447465247869015,0.12243971623795946,0.081198235072451,0.005860909616843181,397.38923533602184,4.139471201416894,96.0,3.0,3.0,233.4442253250793,0.06375586709833561,20.890906743569317,0.6666666666666666
line_0074,Ni V,1283.186,2667,0.005,True,,1283.6823999999997,0.013142947250871064,0.2179772310356039,0.13382108282498417,0.009627825776156878,264.78181455100975,2.6478181455100973,100.0,1.0,1.0,0.0,1.3212760601007962,22.640338130694083,0.0
line_0076,Ni V,1284.475,2751,0.005,True,BLEND_RESOLVED,1284.6010533724898,0.011579812366951553,0.1332625115583684,0.10073435739521484,0.015385850953403293,331.5613280858056,3.4537638342271415,96.0,3.0,3.0,144.13973245165465,0.27310454465644957,8.661367639785386,0.6666666666666666
line_0078,Ni V,1287.571,5009,0.002,True,BLEND_RESOLVED,1287.6931406626104,0.006318196299125755,0.09964502238388752,0.08649153482787697,0.006953829049402285,180.29390433985608,1.8780615035401675,96.0,3.0,3.0,72.93580790218721,0.1921073429920255,14.329518553875362,0.6666666666666666
line_0079,Ni V,1287.807,2642,0.005,True,BLEND_RESOLVED,1287.9342950939092,0.006189041367105791,0.06160617880980252,0.04932306588840912,0.005946054373559832,327.6754713255401,3.413286159641043,96.0,3.0,3.0,119.51712093085712,0.07433367218272355,10.360850227630804,0.6666666666666666
