line_id,species,lambda_obs,sigma_lambda_obs,chi2,n_components
Ni V_1261.3410,Ni V,1261.6879469720343,0.002501555801970302,3239.709935329891,1
Ni V_1261.4370,Ni V,1261.6530001150331,0.0014275150633664946,3709.1613146564096,1
Ni V_1261.7580,Ni V,1261.6217492291455,0.0009464815982925872,8401.861067438069,1
Ni V_1262.7390,Ni V,1262.2987156275394,0.001881372236538451,29887.995632559676,1
Ni V_1264.2640,Ni V,1264.642465101606,0.0026357863850900946,5191.492117604943,1
Ni V_1264.7550,Ni V,1264.6432993087142,0.001358535824521142,5630.65867026007,1
Ni V_1265.6670,Ni V,1265.0700000000002,0.03255912328931909,4607.860287595013,1
Ni V_1265.8760,Ni V,1265.2828000000002,0.05257974113318715,3594.75341235173,1
Ni V_1266.4030,Ni V,1267.0003999999954,0.027962616404694534,5697.743475294634,1
Fe V_1266.5218,Fe V,1267.1143999999997,0.03182229000508414,3694.6413469562413,1
Ni V_1268.1820,Ni V,1267.5856129152671,422144772.54146737,3179.688672632206,1
Ni V_1268.8830,Ni V,1269.4779999999998,0.011788706023646673,719.5702243851408,1
Ni V_1269.3840,Ni V,1269.9362730840394,0.016125745758726873,477.3534420823106,1
Fe V_1269.7855,Fe V,1269.980792019271,0.003993719876602273,427.3873214419841,1
Ni V_1270.2050,Ni V,1269.9883973519152,0.0030379451596198826,1603.0308801669075,1
Fe V_1270.4713,Fe V,1270.0590484248287,0.00546366622596763,2965.804586643536,1
Ni V_1273.8170,Ni V,1273.7434438739185,0.0007058888650747213,3411.1104018762744,1
Ni V_1274.2630,Ni V,1273.8011401578008,0.0012525541012794643,11731.501132053409,1
Ni V_1276.4310,Ni V,1276.6601257381906,0.0004626022364735584,7498.350748670072,1
Ni V_1276.6320,Ni V,1276.645565828261,0.0003834602529041921,11727.065986776997,1
Ni V_1278.8720,Ni V,1279.4719999999998,0.022558193472738648,622.0584889639508,1
Fe V_1279.5917,Fe V,1279.4949435976446,0.0028547453970021084,2181.606460392131,1
Fe V_1280.4678,Fe V,1279.9215685035335,0.004788223792766756,1459.6789895990858,1
Fe V_1280.6480,Fe V,1280.0496000000003,0.0063436934845118535,3178.5718555219555,1
Fe V_1281.3672,Fe V,1281.9647999997624,0.009945634990812151,449.69864160722847,1
Fe V_1281.6471,Fe V,1282.2459999999999,0.01456882106650714,502.4063453928585,1
Fe V_1282.0587,Fe V,1282.4076031833706,0.0073183393186473655,754.2881943007418,1
Ni V_1283.1860,Ni V,1283.6132998920637,0.0021576011034895675,16123.4366140399,1
Fe V_1284.1080,Fe V,1284.6074998252589,0.002708088343728167,8904.504325575323,1
Ni V_1284.4750,Ni V,1284.673654023784,0.001455679206350173,1888.7787788530711,1
Fe V_1285.9150,Fe V,1285.9547903014613,0.0005088751687502218,4891.5365747385085,1
Ni V_1287.5710,Ni V,1287.8787195546556,0.0025512538129310275,865.9507767370353,1
Ni V_1287.8070,Ni V,1287.945878830815,0.00207363175262486,1022.2174240427898,1
Fe V_1288.1681,Fe V,1287.911528444161,0.004399253921858375,691.5397074138282,1
Fe V_1288.7231,Fe V,1288.1592150197675,0.009027363201398183,968.8101879663127,1
Fe V_1289.5369,Fe V,1289.6484243971386,0.0010602309646189697,6361.531941649844,1
Ni V_1290.3970,Ni V,1290.1486336981413,0.0009290818459299307,18323.33839413371,1
Fe V_1291.1881,Fe V,1291.683651515479,0.0006749756652222292,125093.8177360439,1
Fe V_1293.1270,Fe V,1293.2710018451949,0.0007364660130040624,4847.849626608399,1
Fe V_1293.3059,Fe V,1293.265371044135,0.0006334581306087016,4983.116950973294,1
Fe V_1297.5453,Fe V,1297.6214991036652,0.0008893050247355442,2177.071677891364,1
Ni V_1298.7320,Ni V,1298.4639108367935,0.0024753394378149297,2655.8894132421933,1
Fe V_1300.6095,Fe V,1300.114406903169,0.0018379447026890382,24244.31604409754,1
Fe V_1300.8450,Fe V,1301.317011017362,0.0022860145906419514,9598.801607799018,1
Ni V_1300.9810,Ni V,1301.3902701914315,0.0022155910940465586,3992.1600967591926,1
Fe V_1303.0834,Fe V,1303.3294955928402,0.0021994348777216724,2027.908289010952,1
Fe V_1303.4853,Fe V,1303.2794191694593,0.0017186347810702314,2563.262718559323,1
Fe V_1304.8140,Fe V,1304.6705413211228,0.0002130351603487152,663889.2431443426,1
Fe V_1305.9674,Fe V,1306.1815942894327,0.00181351942473687,3914.0848676043015,1
Fe V_1306.0803,Fe V,1306.1809184435374,0.0017970159713275383,3917.071691616047,1
Fe V_1307.2190,Fe V,1307.6758483834174,0.005184052679490494,2803.812385814282,1
Fe V_1307.4242,Fe V,1307.6810311604384,0.004432427095473274,2674.690569221563,1
Ni V_1307.5990,Ni V,1307.6814157160272,0.004414768874773642,2757.24710839906,1
Fe V_1310.7510,Fe V,1311.100301511121,0.0005512519988491031,517529.68518456485,1
Fe V_1311.2378,Fe V,1310.829419128876,0.002777756098694673,627473.2366176681,1
Ni V_1311.5570,Ni V,1311.185522812945,0.00035724195950450423,551916.4103522119,1
Fe V_1311.8290,Fe V,1311.2325519467354,4.613229984718956e-06,925222.7882046155,1
Ni V_1313.3060,Ni V,1312.8177364875723,0.0006411472492180814,111179.05432037625,1
Fe V_1313.5851,Fe V,1314.0403025614169,0.0008240829674265304,50590.33724352395,1
Fe V_1314.5256,Fe V,1314.9405125674527,0.005919890789751002,5106.23365701864,1
Ni V_1315.6680,Ni V,1315.7201990264418,0.001872178288937595,477.4140637366901,1
Ni V_1317.4450,Ni V,1317.0699139321962,0.00048181755218804805,410589.56312329776,1
Ni V_1318.1510,Ni V,1318.1824868478902,0.00020252351786511464,1117819.7462685835,1
Ni V_1318.5110,Ni V,1318.1755176528934,0.0002166441833887086,1143688.0423070798,1
Ni V_1319.7520,Ni V,1320.1106241572465,0.0011768774141611258,12481.170876202947,1
Fe V_1320.4116,Fe V,1320.4554785073867,0.001959853681060576,3687.3742254439057,1
Ni V_1320.7150,Ni V,1320.4764098967203,0.0024752161249008806,3727.4765922131355,1
Ni V_1320.9010,Ni V,1320.5124120093387,0.00395746853760661,4774.1902962917775,1
Ni V_1321.2510,Ni V,1320.7317481428481,0.007218038655612482,9235.022848003073,1
Fe V_1321.3424,Fe V,1320.8159382560418,0.006213255670552407,10237.978632399685,1
Fe V_1321.4905,Fe V,1320.9991176687768,0.0041090212948855015,8038.613649080784,1
Fe V_1321.8507,Fe V,1321.316372521186,0.002706681679105943,5509.269240063098,1
Fe V_1323.0938,Fe V,1323.100185821367,0.01206117165920897,4380.346590696927,1
Fe V_1323.2693,Fe V,1323.3750069734772,0.00039928462342483017,765.1859808962433,1
Ni V_1325.0940,Ni V,1324.6131510777286,0.0012655781213651897,7881.6297661120825,1
Fe V_1325.7838,Fe V,1326.2650534532386,0.002773378594003116,1173.5641730715884,1
Fe V_1327.1006,Fe V,1327.593670261794,0.002223472007902553,29832.096940101914,1
Fe V_1329.0215,Fe V,1329.0388829682047,0.0011608216655723778,1058.458798141351,1
Fe V_1331.1860,Fe V,1331.3197184601177,0.00041557226802220833,493095.7977227478,1
Fe V_1331.6390,Fe V,1331.2418871475306,0.0006658362005105003,317605.5180478787,1
Fe V_1332.9697,Fe V,1333.1550749876008,0.000870797911990684,5509.102952136347,1
Ni V_1333.9640,Ni V,1333.6577088668735,0.0015393133930078702,12600.415467017383,1
Fe V_1336.0377,Fe V,1335.6815802753754,0.0008585520652809287,64989.691890701986,1
Ni V_1336.1600,Ni V,1335.7299194112943,0.0007365725691601064,76157.07619452394,1
Fe V_1337.2869,Fe V,1337.0751524684179,0.003790000144334378,602.8897512742966,1
Ni V_1339.0650,Ni V,1339.3941372222355,0.0003962689335883385,480399.60628812405,1
Fe V_1339.6900,Fe V,1339.3941932043117,0.00036608320839483813,359330.5566796329,1
Ni V_1340.3530,Ni V,1340.7724604432565,0.0016340204218755797,12296.06444515857,1
Ni V_1341.0680,Ni V,1341.3658266779412,0.004278887984775782,364.99789771612683,1
Ni V_1342.1800,Ni V,1342.1840268207352,0.003787271577210812,514.1597052095703,1
Ni V_1343.8960,Ni V,1343.9134097696037,0.0006722027441370232,8900.404096328437,1
Fe V_1350.5374,Fe V,1350.0458717426798,0.0035730713464123052,9030.689835490202,1
Fe V_1350.6724,Fe V,1351.2341860812166,0.006501178030851226,4843.2548389368685,1
Fe V_1350.9483,Fe V,1351.5427999999997,0.009238785754352628,892.758967511613,1
Ni V_1351.4140,Ni V,1351.6785024313801,0.0029178279682121216,597.9824844866255,1
Fe V_1351.7563,Fe V,1351.6596016954993,0.0017968270725060888,893.1632830029422,1
Fe V_1355.6223,Fe V,1355.9071692431862,0.0011283233603517394,6945.828496908666,1
Fe V_1356.2369,Fe V,1355.96220848863,0.0010048555728887898,9350.213818649834,1
Fe V_1357.1121,Fe V,1356.5524752324832,0.0015818207607383955,37946.863237276244,1
Fe V_1357.6760,Fe V,1358.1807696407182,0.0020946861331484303,7253.882052764163,1
Fe V_1357.8549,Fe V,1358.3071674334733,0.0017096485824047854,8105.146564466169,1
Fe V_1358.3840,Fe V,1358.8077674141991,0.003985808254514383,1078.3377780312512,1
Fe V_1358.5646,Fe V,1358.9594899160843,0.005078728609331686,1391.6287443768585,1
Fe V_1359.0060,Fe V,1359.03184441081,0.002202935294933775,1019.877515160437,1
Fe V_1359.4034,Fe V,1359.1216236099492,0.0016024253856905103,5032.500983015703,1
Fe V_1361.4440,Fe V,1361.8246464838562,0.002957590536321936,3472.542350893709,1
Fe V_1361.8280,Fe V,1361.760720544554,0.0010641269058143884,5101.518661017564,1
Fe V_1362.8639,Fe V,1363.208894265037,0.002017056061545062,194765.86705143703,1
Fe V_1363.0758,Fe V,1363.672399999995,0.023366845405474658,268774.59766866313,1
Fe V_1363.6431,Fe V,1363.3183953845667,0.0005082626629595445,253582.53882435354,1
Fe V_1364.8201,Fe V,1365.0933261902253,0.005044542660078301,1386.2974667874546,1
Fe V_1365.1143,Fe V,1365.1015003321795,0.004598517202945373,2395.9216166019996,1
Fe V_1365.5742,Fe V,1365.1349672239248,0.015906188277737845,2139.5757773901546,1
Fe V_1370.3038,Fe V,1369.8072180757943,0.002274929312524098,24490.239936914106,1
Fe V_1371.2188,Fe V,1370.8897211675996,0.0010720611520118573,17203.649989142417,1
Fe V_1371.9858,Fe V,1372.2091393688129,0.0004754993770408461,307185.35844547633,1
Fe V_1372.6536,Fe V,1372.1952840766648,0.0005842762687531253,274234.0595872369,1
Fe V_1373.5868,Fe V,1373.6011000179587,0.001256996933907307,9165.137390705275,1
Fe V_1373.6770,Fe V,1373.6093911506719,0.001328837103692454,9369.226144803124,1
Fe V_1373.9646,Fe V,1373.6467543514248,0.001226301804811181,8832.660066080654,1
Fe V_1374.1180,Fe V,1373.7051235801698,0.0008089286504708472,5928.3651056282615,1
Fe V_1375.7851,Fe V,1375.8125048916413,0.0004729196891695917,245565.08206645027,1
Fe V_1376.3367,Fe V,1375.892849054672,0.00048199879127246956,153561.34730056446,1
Fe V_1376.4511,Fe V,1375.9650718552466,0.0004427390509363795,131180.74859702148,1
Fe V_1378.5620,Fe V,1378.9127549856103,0.0004980274981154487,269753.2369835675,1
Fe V_1379.2046,Fe V,1378.63691315173,0.006251693617544657,172823.77580058202,1
Fe V_1380.1140,Fe V,1380.3193617656902,0.0014009793489352911,7495.666596272398,1
Fe V_1382.5606,Fe V,1382.717162180131,0.005656519168715504,318.77315831845567,1
Fe V_1384.0585,Fe V,1384.2894086037502,0.0012890503488882596,3455.5797020321056,1
Fe V_1384.2003,Fe V,1384.326269943013,0.0012607758978715844,4179.148470460215,1
Fe V_1384.6837,Fe V,1384.310498678527,0.004160176420110295,565.7341437579912,1
Fe V_1385.3120,Fe V,1384.7475934515328,0.005039867053881115,1330.4816534981358,1
Fe V_1386.4670,Fe V,1386.7431795260843,0.0011742016348697693,15023.995345309608,1
Fe V_1388.0401,Fe V,1388.2630253979307,0.0005934692983626007,271093.8479300049,1
Fe V_1388.1938,Fe V,1388.2441225331952,0.0005127242382120523,303657.2228479828,1
Fe V_1388.3235,Fe V,1388.2388586975758,0.0004850379634915347,253292.62150266004,1
Fe V_1389.0048,Fe V,1389.3698590128124,0.0012227429258195902,163517.81037715604,1
Fe V_1390.7138,Fe V,1390.5562423571648,0.0015950934028603155,1114.7134581043565,1
Ni V_1390.9170,Ni V,1390.567413702495,0.0018283882906210394,4484.229958540328,1
Fe V_1390.9690,Fe V,1390.567633685887,0.0021208426041564605,5020.066325303047,1
Fe V_1392.2725,Fe V,1392.460864255115,0.0010722336229650924,4628.773557145459,1
Fe V_1392.9400,Fe V,1392.4365317518393,0.007726171248753478,645.1311570768504,1
Fe V_1393.0706,Fe V,1392.54430340795,0.006209434787302271,975.4278929528332,1
Fe V_1394.2712,Fe V,1394.4649488452603,0.0008382119158988677,175072.9811256324,1
Fe V_1394.6013,Fe V,1394.0040000000001,0.06594222198803742,88584.57312439742,1
Fe V_1394.6686,Fe V,1394.3161006015598,0.023886955566089153,68823.7612679308,1
Fe V_1395.4411,Fe V,1395.1244577821956,0.0004967532353793604,275731.2651627165,1
Fe V_1397.7545,Fe V,1397.8688724866295,0.0008966125501934992,6205.935768283556,1
Fe V_1397.9730,Fe V,1397.8432311325969,0.0011025705240724625,2590.8771838047164,1
Fe V_1398.1624,Fe V,1397.8248929667907,0.001993104502188555,2683.4229816412685,1
Fe V_1401.5384,Fe V,1401.598658579751,0.0011709095944644427,1042.551279565299,1
Fe V_1404.0438,Fe V,1404.010427037632,0.0009883702680396457,1918.0899624063136,1
Fe V_1404.2589,Fe V,1403.9880331418974,0.001281662887337334,896.2594509940391,1
Fe V_1406.6710,Fe V,1407.1086459763644,0.00468648615362747,3455.6233707826113,1
Fe V_1406.8220,Fe V,1407.4179999999997,0.014506779769212858,6450.601196881894,1
Fe V_1407.0098,Fe V,1407.6079999998565,0.020101292692438048,6038.782534256061,1
Fe V_1407.2470,Fe V,1407.8435999999997,0.020453335989498507,5802.14031619001,1
Fe V_1407.5640,Fe V,1408.1627999999143,0.02384459792079202,3049.1381385997593,1
Fe V_1408.1190,Fe V,1408.586793800177,0.017155269500734975,839.5175368408215,1
Fe V_1408.7993,Fe V,1409.3939999999998,0.04925939838957981,3584.324635955008,1
Fe V_1409.0254,Fe V,1409.4751340047378,0.059030218439573526,6769.924036184052,1
Fe V_1409.2236,Fe V,1409.1177466070262,0.002662001360369792,10224.538139707205,1
Fe V_1409.4510,Fe V,1409.2231108335206,0.002408926373803779,10021.107264926432,1
Fe V_1409.7226,Fe V,1409.3583995786107,0.002432195612811268,13325.067138831742,1
Fe V_1409.8484,Fe V,1409.4159652242458,0.003068120819203651,11108.73378045269,1
Fe V_1411.0703,Fe V,1410.9599408980798,0.0012899417830747166,1578.2215659266553,1
Fe V_1411.5675,Fe V,1411.0563701018,0.0032164525948197914,6702.050516978038,1
Fe V_1414.8320,Fe V,1415.148754258559,0.0055019060454705535,3176.7101609726756,1
Fe V_1416.2196,Fe V,1416.423935866967,0.0007881051188866927,243545.24092290062,1
Fe V_1416.8290,Fe V,1416.4435456184585,0.0005742599467963776,169432.1170733386,1
Fe V_1417.0030,Fe V,1416.550566587772,0.0005254087576816399,141508.36768237094,1
Fe V_1418.1223,Fe V,1418.1313267075657,0.0010859793060985954,2362.805407220925,1
Fe V_1420.4180,Fe V,1420.692028651756,0.0035025863075832174,1927.4989743946603,1
Fe V_1420.6049,Fe V,1420.7297034902745,0.0029186005194487287,1962.3809713007427,1
Fe V_1420.7486,Fe V,1420.7223315722804,0.003060128141745089,1930.0258102014645,1
Fe V_1421.0167,Fe V,1420.72764388146,0.004676047378985814,1620.5779788365717,1
Fe V_1421.9775,Fe V,1421.489214916403,0.0043204213281721636,798.1272371901217,1
Fe V_1422.4802,Fe V,1422.9655998996307,0.004475326545686172,1147.3904045643067,1
