line_id,species,lambda_obs,sigma_lambda_obs,chi2,n_components
Fe V_1388.3235,Fe V,1388.2388392081607,0.0004852474855458066,253297.11219949118,1
Fe V_1389.0048,Fe V,1389.3698491233627,0.00122274695422305,163520.83147005134,1
Fe V_1390.7138,Fe V,1390.5562783589398,0.001594889252966715,1114.5066882081626,1
Fe V_1390.9690,Fe V,1390.5676558902605,0.0021205449451415807,5018.58485117374,1
Fe V_1392.2725,Fe V,1392.4608725004891,0.0010722010831380638,4629.4062864939,1
Fe V_1392.9400,Fe V,1392.436574793101,0.007723878499777772,645.150514776139,1
Fe V_1393.0706,Fe V,1392.5443131183883,0.006209107439392109,975.5521635661407,1
Fe V_1394.2712,Fe V,1394.4649438075007,0.0008381926600611611,175075.96483584354,1
Fe V_1394.6013,Fe V,1394.0040000000001,0.06594412486334691,88584.5775294129,1
Fe V_1394.6686,Fe V,1394.3158969620254,0.023906842613448567,68820.98370574004,1
Fe V_1395.4411,Fe V,1395.1244667365477,0.000496718354520964,275736.3706111942,1
Fe V_1397.7545,Fe V,1397.868873641449,0.000896602761643315,6206.099517626997,1
Fe V_1397.9730,Fe V,1397.8432321987455,0.001102553330106253,2590.9276347574123,1
Fe V_1398.1624,Fe V,1397.8248943209467,0.0019930738820002373,2683.4777129367912,1
Fe V_1401.5384,Fe V,1401.598650166657,0.00117080452943971,1042.7415124456904,1
Fe V_1404.0438,Fe V,1404.0104185396538,0.000988414053979369,1917.8462894240818,1
Fe V_1404.2589,Fe V,1403.9880259468637,0.0012817046443972956,896.2193979168704,1
Fe V_1406.6710,Fe V,1407.1086345912772,0.004685655711028856,3455.5720725825604,1
Fe V_1406.8220,Fe V,1407.4179999999997,0.01450757291987955,6450.540808545212,1
Fe V_1407.0098,Fe V,1407.6079999998572,0.020100351819252772,6038.888817870884,1
Fe V_1407.2470,Fe V,1407.8435999999997,0.020456619920296862,5802.161262056918,1
Fe V_1407.5640,Fe V,1408.1627999999182,0.02384754890722422,3049.110171795198,1
Fe V_1408.1190,Fe V,1408.5867634309125,0.017155248962505733,839.5126451914296,1
Fe V_1408.7993,Fe V,1409.3939999999998,0.049269310788163954,3584.334193937744,1
Fe V_1409.0254,Fe V,1409.4750512452165,0.05902361100589736,6769.916921236706,1
Fe V_1409.2236,Fe V,1409.117721302935,0.0026621564617067815,10224.61553344881,1
Fe V_1409.4510,Fe V,1409.2230969685338,0.0024090180873629343,10021.141689720029,1
Fe V_1409.7226,Fe V,1409.3583923801675,0.002432253593061522,13325.022788232684,1
Fe V_1409.8484,Fe V,1409.4159587861525,0.003068195862820619,11108.679235093938,1
Fe V_1411.0703,Fe V,1410.9599494659947,0.0012898817789900004,1578.263478527042,1
Fe V_1411.5675,Fe V,1411.0563722989216,0.0032163323402273902,6702.011694878596,1
Fe V_1414.8320,Fe V,1415.148832101031,0.005504565044701224,3176.547057576402,1
Fe V_1416.2196,Fe V,1416.4239304809603,0.0007880430415650122,243547.53194183973,1
Fe V_1416.8290,Fe V,1416.4435484321577,0.0005741504694918838,169432.79688749858,1
