line_id,species,lambda_obs,sigma_lambda_obs,chi2,n_components
Ni V_1253.6630,Ni V,1254.1049377706422,0.00030496362645563064,527220.0470356094,1
Ni V_1254.1970,Ni V,1254.2970012934927,0.0003573094610343174,1020975.166168002,1
Ni V_1254.8660,Ni V,1254.455453692603,0.0002533072994899602,884944.1903933755,1
Ni V_1256.2220,Ni V,1256.6313624068603,0.0003557118387558892,483803.1010926074,1
Ni V_1256.9160,Ni V,1256.9058300803867,0.0010030084717718012,675370.8987458893,1
Ni V_1257.6370,Ni V,1257.2168723397467,0.00036072084507540123,540190.9712958727,1
Ni V_1258.0240,Ni V,1258.4216038982893,0.0006367175546573129,128430.42459495565,1
Ni V_1259.5920,Ni V,1259.128411987021,0.0008166437094298847,140136.59078012186,1
Ni V_1259.7270,Ni V,1259.1938746525339,0.0010965039114090123,181269.50836404852,1
Ni V_1261.1180,Ni V,1261.5681963683871,0.002785708713932481,867.8058971342987,1
Ni V_1261.3410,Ni V,1261.6879433293916,0.002501372853938173,3239.7224744016316,1
Ni V_1261.4370,Ni V,1261.6529978956723,0.0014274296865145206,3709.2067381624065,1
Ni V_1261.7580,Ni V,1261.6217476110508,0.0009464285215621348,8402.604660601359,1
Ni V_1262.7390,Ni V,1262.298744443903,0.0018806594912943795,29905.457832589113,1
Ni V_1264.2640,Ni V,1264.642489249447,0.0026352320113298398,5191.013101175613,1
Ni V_1264.7550,Ni V,1264.6433454514822,0.0013580315480520595,5628.654348815193,1
Ni V_1265.6670,Ni V,1265.0700000000002,0.02235407030598574,4422.3170958463525,1
Ni V_1265.8760,Ni V,1265.2828000000002,0.019729078521859806,3844.0398844880783,1
Ni V_1266.4030,Ni V,1266.934001150914,0.0062623079974376905,7193.248335528477,1
Ni V_1268.1820,Ni V,1267.6995928237127,0.012543717091658068,2047.6248046040546,1
Ni V_1268.8830,Ni V,1269.4779999999998,0.03545855449137835,285.5512553087136,1
Ni V_1269.3840,Ni V,1269.3928245156621,0.004192477856871,3375.78483597816,1
Ni V_1270.2050,Ni V,1270.0823582571334,0.001555566337764731,1352.372874679145,1
Ni V_1273.8170,Ni V,1273.7433769346342,0.0007058873523253382,3412.8512398927687,1
Ni V_1274.2630,Ni V,1273.8011183778021,0.0012524658570303882,11744.694582056405,1
Ni V_1276.4310,Ni V,1276.660134862451,0.00046260695186758433,7498.106107013262,1
Ni V_1276.6320,Ni V,1276.6455760844206,0.0003834705037684125,11726.061897912732,1
Ni V_1278.8720,Ni V,1279.0270753444322,0.007749642687904881,155.8154283767947,1
Ni V_1283.1860,Ni V,1283.6518400653147,0.0031022694153129467,16225.813466351648,1
Ni V_1284.4750,Ni V,1284.8745890207622,0.001182010032841537,64994.2380123313,1
Ni V_1287.5710,Ni V,1287.297359149598,0.0014556602804772307,4307.131006140261,1
Ni V_1287.8070,Ni V,1287.351119811996,0.002100103545193109,19215.660868885163,1
Ni V_1290.3970,Ni V,1290.1341838617782,0.0011429567452811615,9087.011592412968,1
Ni V_1298.7320,Ni V,1298.4638519987554,0.0024758578460262115,2657.2719698664105,1
Ni V_1300.9810,Ni V,1301.3911315486027,0.00917476343845032,3571.976079878,1
Ni V_1307.5990,Ni V,1307.5295272128226,0.0011004188159613086,3347.6661751179554,1
Ni V_1311.5570,Ni V,1311.2148023807988,0.0005654680353097783,3563.4967874356043,1
Ni V_1313.3060,Ni V,1313.7927923111145,0.0011105615065395338,94024.27226491633,1
Ni V_1315.6680,Ni V,1315.720920790998,0.0018748827244855141,476.4519524450965,1
Ni V_1317.4450,Ni V,1317.069694050019,0.00048274293748835315,412526.7758382785,1
Ni V_1318.1510,Ni V,1318.1822452737504,0.00020087003797031094,1117327.605704275,1
Ni V_1318.5110,Ni V,1318.1759893005571,0.00022658215330184414,1142984.287121927,1
Ni V_1319.7520,Ni V,1319.6121079710647,0.0007194377446271968,3217.1898444300073,1
Ni V_1320.7150,Ni V,1320.755608327838,0.0008670292092903334,7023.654161352778,1
Ni V_1320.9010,Ni V,1320.7308889323333,0.0011469371452923138,7237.444476450457,1
Ni V_1321.2510,Ni V,1320.7731189293254,0.0031377107483438983,5027.437330260773,1
Ni V_1325.0940,Ni V,1325.3110473930549,0.0014376121346464296,3208.466500554876,1
Ni V_1333.9640,Ni V,1333.6576529453412,0.001539251846041531,12610.707848397371,1
Ni V_1336.1600,Ni V,1336.0336803199318,0.00044045494764145875,13748.987466746265,1
Ni V_1339.0650,Ni V,1339.2516443371057,0.0015097051965839452,2585.372628207763,1
Ni V_1340.3530,Ni V,1339.8730697742228,0.000605890684042199,105023.2272013737,1
Ni V_1341.0680,Ni V,1341.3963657473726,0.0008262126169449386,19305.436500154523,1
Ni V_1342.1800,Ni V,1342.1839105857368,0.0037869647221011257,514.2261656094728,1
Ni V_1343.8960,Ni V,1343.9134168087116,0.0006721203735471881,8902.057831475955,1
Ni V_1351.4140,Ni V,1351.9091202032835,0.0010563198646861246,208111.5932124685,1
Ni V_1390.9170,Ni V,1390.9506492556463,0.0020713111608821034,492.0084924205654,1
