species,wavelength_aa,wavelength_unc_aa,q_cm1,wavenumber_cm1,q_unc_cm1,lower_level,upper_level,line_id
Ni V,1270.205,0.002,3220,78727.44950618208,,3d5.(2G2).4s 3G J=3,3d5.(2G2).4p 3F* J=2,Ni V_1270.2050
Ni V,1273.817,0.004,4084,78504.21214350256,,3d5.(4P).4s 5P J=2,3d5.(4P).4p 5P* J=3,Ni V_1273.8170
Ni V,1274.263,0.002,2380,78476.73517947238,,3d5.(4F).4s 5F J=2,3d5.(4F).4p 5G* J=3,Ni V_1274.2630
Ni V,1276.431,0.002,3368,78343.44355472407,,3d5.(4D).4s 5D J=3,3d5.(4D).4p 5F* J=4,Ni V_1276.4310
Ni V,1276.632,0.005,4042,78331.10872984541,,3d5.(2G1).4s 3G J=4,3d5.(2G1).4p 3H* J=4,Ni V_1276.6320
Ni V,1278.872,0.004,2862,78193.90838176143,,3d5.(2G2).4s 3G J=5,3d5.(2G2).4p 3F* J=4,Ni V_1278.8720
Ni V,1283.186,0.005,2667,77931.02480856245,,3d5.(2G2).4s 1G J=4,3d5.(2G2).4p 3G* J=5,Ni V_1283.1860
Ni V,1284.475,0.005,2751,77852.81924521692,,3d5.(4D).4s 5D J=2,3d5.(4D).4p 5F* J=3,Ni V_1284.4750
Ni V,1287.571,0.002,5009,77665.61999299457,,3d5.(2D3).4s 3D J=3,3d5.(2D3).4p 3F* J=4,Ni V_1287.5710
Ni V,1287.807,0.005,2642,77651.38720320669,,3d5.(4D).4s 5D J=1,3d5.(4D).4p 5F* J=2,Ni V_1287.8070
Ni V,1290.397,0.002,2290,77495.53044528158,,3d5.(4D).4s 5D J=2,3d5.(4D).4p 5F* J=2,Ni V_1290.3970
Ni V,1298.732,0.002,3419,76998.1797630304,,3d5.(2G2).4s 3G J=5,3d5.(2H).4p 3I* J=6,Ni V_1298.7320
Ni V,1300.981,0.002,3504,76865.07335618275,,3d5.(6S).4s 5S J=2,3d5.(6S).4p 5P* J=1,Ni V_1300.9810
Ni V,1307.599,0.002,1384,76476.04502603627,,3d5.(6S).4s 5S J=2,3d5.(6S).4p 5P* J=2,Ni V_1307.5990
Ni V,1311.557,0.002,3747,76245.25659197428,,3d5.(2H).4s 3H J=5,3d5.(2H).4p 3H* J=6,Ni V_1311.5570
Ni V,1313.306,0.002,2056,76143.7166966419,,3d5.(4G).4s 5G J=4,3d5.(4G).4p 5G* J=4,Ni V_1313.3060
Ni V,1315.668,0.002,3216,76007.01696780647,,3d5.(4D).4s 3D J=1,3d5.(4D).4p 3F* J=2,Ni V_1315.6680
Ni V,1317.445,0.002,3366,75904.49696192252,,3d5.(2I).4s 1I J=6,3d5.(2I).4p 1K* J=7,Ni V_1317.4450
Ni V,1318.151,0.002,2903,75863.84260983756,,3d5.(4P).4s 5P J=3,3d5.(4G).4p 5F* J=3,Ni V_1318.1510
Ni V,1318.511,0.002,2643,75843.12910548339,,3d5.(6S).4s 5S J=2,3d5.(6S).4p 5P* J=3,Ni V_1318.5110
Ni V,1319.752,0.005,2949,75771.81167370839,,3d5.(2G2).4s 1G J=4,3d5.(4F).4p 3F* J=4,Ni V_1319.7520
Ni V,1320.715,0.002,2378,75716.5626194902,,3d5.(4D).4s 3D J=3,3d5.(4D).4p 3F* J=4,Ni V_1320.7150
Ni V,1320.901,0.005,2650,75705.90074502176,,3d5.(4P).4s 5P J=2,3d5.(4G).4p 5F* J=3,Ni V_1320.9010
Ni V,1321.251,0.005,2976,75685.8462169565,,3d5.(4P).4s 5P J=3,3d5.(4P).4p 5D* J=2,Ni V_1321.2510
Ni V,1325.094,0.008,2439,75466.34427444392,,3d5.(2F2).4s 1F J=3,3d5.(2F2).4p 1D* J=2,Ni V_1325.0940
Ni V,1333.964,0.002,3464,74964.54177174196,,3d5.(2I).4s 1I J=6,3d5.(2I).4p 1H* J=5,Ni V_1333.9640
Ni V,1336.16,0.002,2944,74841.33636690216,,3d5.(4G).4s 3G J=5,3d5.(4G).4p 3H* J=6,Ni V_1336.1600
Ni V,1339.065,0.01,3308,74678.97376154257,,3d5.(4D).4s 3D J=1,3d5.(4D).4p 3D* J=2,Ni V_1339.0650
Ni V,1340.353,0.002,3092,74607.21168229563,,3d5.(4D).4s 3D J=2,3d5.(4D).4p 3D* J=2,Ni V_1340.3530
Ni V,1341.068,0.002,3093,74567.43431354711,,3d5.(4D).4s 5D J=4,3d5.(4P).4p 5P* J=3,Ni V_1341.0680
Ni V,1342.18,0.002,3283,74505.65497921292,,3d5.(4G).4s 3G J=5,3d5.(4G).4p 3F* J=4,Ni V_1342.1800
Ni V,1343.896,0.002,3758,74410.51986165596,,3d5.(2H).4s 3H J=4,3d5.(2G2).4p 3H* J=4,Ni V_1343.8960
Ni V,1351.414,0.002,2187,73996.5695190371,,3d5.(4G).4s 3G J=3,3d5.(4G).4p 3F* J=2,Ni V_1351.4140
Ni V,1390.917,0.006,3877,71895.01602180433,,3d5.(4P).4s 3P J=2,3d5.(4P).4p 3P* J=2,Ni V_1390.9170
